38.73,0.002513704,173.71
76.34351,3.625222,131.1348
0.4580308,3.665063,131.1673
27.49102,-8.658285,85.70461
26.69497,-8.375375,14.26486
38.73,0.1833085,173.71
0.4580308,3.69702,131.1673
76.34351,3.503732,131.1348
45.0391,-0.1186018,126.5873
63.94836,-5.248335,21.13317
82.30194,-8.647446,3.764396
38.73,0.05729,173.71
76.34351,3.745295,131.1348
0.4580308,3.514357,131.1673
38.49264,-0.4013879,118.1097
-6.518033,-8.510634,2.371352
43.42825,-8.528945,24.14838
10.37297,-5.241992,21.08319
38.73,0.1326362,173.71
0.4580308,3.503796,131.1673
76.34351,3.514252,131.1348
38.49264,-0.3364049,118.1097
18.68458,-8.430612,60.90136
10.37297,-5.399271,21.08319
63.94836,-5.244465,21.13317
38.73,0.2133141,173.71
76.34351,3.538291,131.1348
0.4580308,3.790774,131.1673
38.49264,-0.4931189,118.1097
10.37297,-5.25015,21.08319
38.73,0.2962996,173.71
0.4580308,3.756751,131.1673
76.34351,3.598981,131.1348
38.49264,-0.467676,118.1097
-7.578144,-8.684957,92.15765
-6.518033,-8.747459,2.371352
64.51304,-5.483899,74.9756
39.84168,-8.377081,82.13819
38.73,0.2161933,173.71
38.73,0.2314833,173.71
0.4580308,3.58728,131.1673
76.34351,3.653602,131.1348
38.49264,-0.4492815,118.1097
-6.518033,-8.478226,2.371352
63.94836,-5.455739,21.13317
38.73,0.2194453,173.71
76.34351,3.635205,131.1348
0.4580308,3.548245,131.1673
38.49264,-0.370115,118.1097
39.89508,-5.311964,106.7631
10.37297,-5.428194,21.08319
38.73,0,173.71
0.8758723,-5.749,24.81977
5.804302,2.251001,6.914464
38.73,0,173.71
0.4580308,3.745011,131.1673
63.48829,-0.116146,131.0294
76.34351,3.767329,131.1348
-6.518033,-8.450854,2.371352
82.89102,-8.745022,91.38963
22.84352,31.6094,-30.54725
34.57357,31.46853,-35.97027
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.49264,-0.2831938,118.1097
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
38.73,0,173.71
